"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2022 05:24:37.083,1 Jun 2022 05:31:00.356,383.273
2,1 Jun 2022 06:59:58.210,1 Jun 2022 07:08:00.625,482.414
3,1 Jun 2022 08:35:32.563,1 Jun 2022 08:43:13.572,461.009
4,1 Jun 2022 10:11:14.132,1 Jun 2022 10:16:54.671,340.540
5,1 Jun 2022 11:47:14.779,1 Jun 2022 11:49:10.581,115.802
6,1 Jun 2022 14:54:23.011,1 Jun 2022 14:57:30.339,187.328
7,1 Jun 2022 16:27:02.429,1 Jun 2022 16:33:21.552,379.123
8,1 Jun 2022 18:01:05.120,1 Jun 2022 18:09:01.301,476.181
9,1 Jun 2022 19:36:43.123,1 Jun 2022 19:44:33.428,470.304
10,1 Jun 2022 21:14:14.273,1 Jun 2022 21:19:47.723,333.450
11,2 Jun 2022 05:21:20.077,2 Jun 2022 05:27:42.630,382.553
12,2 Jun 2022 06:56:41.113,2 Jun 2022 07:04:43.387,482.274
13,2 Jun 2022 08:32:15.432,2 Jun 2022 08:39:56.741,461.309
14,2 Jun 2022 10:07:56.966,2 Jun 2022 10:13:38.190,341.224
15,2 Jun 2022 11:43:57.369,2 Jun 2022 11:45:54.566,117.197
16,2 Jun 2022 14:51:06.796,2 Jun 2022 14:54:13.086,186.290
17,2 Jun 2022 16:23:45.867,2 Jun 2022 16:30:04.399,378.532
18,2 Jun 2022 17:57:48.195,2 Jun 2022 18:05:44.176,475.981
19,2 Jun 2022 19:33:25.777,2 Jun 2022 19:41:16.343,470.566
20,2 Jun 2022 21:10:56.392,2 Jun 2022 21:16:30.776,334.385
21,3 Jun 2022 05:18:03.073,3 Jun 2022 05:24:24.900,381.827
22,3 Jun 2022 06:53:24.015,3 Jun 2022 07:01:26.147,482.132
23,3 Jun 2022 08:28:58.300,3 Jun 2022 08:36:39.909,461.608
24,3 Jun 2022 10:04:39.801,3 Jun 2022 10:10:21.708,341.907
25,3 Jun 2022 11:40:39.963,3 Jun 2022 11:42:38.543,118.580
26,3 Jun 2022 14:47:50.584,3 Jun 2022 14:50:55.831,185.248
27,3 Jun 2022 16:20:29.307,3 Jun 2022 16:26:47.246,377.939
28,3 Jun 2022 17:54:31.271,3 Jun 2022 18:02:27.051,475.780
29,3 Jun 2022 19:30:08.433,3 Jun 2022 19:37:59.258,470.825
30,3 Jun 2022 21:07:38.514,3 Jun 2022 21:13:13.828,335.315
31,4 Jun 2022 05:14:46.069,4 Jun 2022 05:21:07.169,381.100
32,4 Jun 2022 06:50:06.918,4 Jun 2022 06:58:08.906,481.987
33,4 Jun 2022 08:25:41.169,4 Jun 2022 08:33:23.075,461.906
34,4 Jun 2022 10:01:22.638,4 Jun 2022 10:07:05.224,342.586
35,4 Jun 2022 11:37:22.563,4 Jun 2022 11:39:22.515,119.953
36,4 Jun 2022 14:44:34.373,4 Jun 2022 14:47:38.576,184.202
37,4 Jun 2022 16:17:12.748,4 Jun 2022 16:23:30.092,377.345
38,4 Jun 2022 17:51:14.350,4 Jun 2022 17:59:09.926,475.577
39,4 Jun 2022 19:26:51.090,4 Jun 2022 19:34:42.173,471.082
40,4 Jun 2022 21:04:20.639,4 Jun 2022 21:09:56.879,336.240
41,5 Jun 2022 05:11:29.067,5 Jun 2022 05:17:49.436,380.370
42,5 Jun 2022 06:46:49.821,5 Jun 2022 06:54:51.662,481.841
43,5 Jun 2022 08:22:24.038,5 Jun 2022 08:30:06.239,462.201
44,5 Jun 2022 09:58:05.475,5 Jun 2022 10:03:48.739,343.264
45,5 Jun 2022 11:34:05.167,5 Jun 2022 11:36:06.482,121.315
46,5 Jun 2022 14:41:18.165,5 Jun 2022 14:44:21.318,183.154
47,5 Jun 2022 16:13:56.190,5 Jun 2022 16:20:12.939,376.749
48,5 Jun 2022 17:47:57.429,5 Jun 2022 17:55:52.802,475.372
49,5 Jun 2022 19:23:33.750,5 Jun 2022 19:31:25.087,471.337
50,5 Jun 2022 21:01:02.767,5 Jun 2022 21:06:39.928,337.162
51,6 Jun 2022 05:08:12.065,6 Jun 2022 05:14:31.701,379.636
52,6 Jun 2022 06:43:32.725,6 Jun 2022 06:51:34.420,481.695
53,6 Jun 2022 08:19:06.907,6 Jun 2022 08:26:49.402,462.495
54,6 Jun 2022 09:54:48.313,6 Jun 2022 10:00:32.253,343.940
55,6 Jun 2022 11:30:47.777,6 Jun 2022 11:32:50.439,122.663
56,6 Jun 2022 14:38:01.958,6 Jun 2022 14:41:04.060,182.102
57,6 Jun 2022 16:10:39.634,6 Jun 2022 16:16:55.785,376.152
58,6 Jun 2022 17:44:40.511,6 Jun 2022 17:52:35.677,475.166
59,6 Jun 2022 19:20:16.412,6 Jun 2022 19:28:08.002,471.590
60,6 Jun 2022 20:57:44.897,6 Jun 2022 21:03:22.976,338.079
61,7 Jun 2022 05:04:55.063,7 Jun 2022 05:11:13.963,378.900
62,7 Jun 2022 06:40:15.628,7 Jun 2022 06:48:17.173,481.545
